modern_pdes,comet_id,comet_name,perihelion_date,apparition_year,is_periodic,raw_status_source,event_case,current_magnitude_provenance,sbdb_M1,sbdb_K1,sbdb_nuclear_biased,current_modeled_peak_mag,priority
9P,9P,9P/Tempel 1,1879-05-07,1879,True,AERITH,expected_seen,horizons_tmag,12.9,9.0,False,14.584,medium_sbdb_good
1879 M1,C/1879 M1,C/1879 M1 (Swift),1879-04-27,1879,False,SBDB,unexpected_seen,horizons_tmag,6.1,17.75,False,6.649,medium_sbdb_good
1879 Q1,C/1879 Q1,C/1879 Q1 (Palisa),1879-10-05,1879,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1879 Q2,C/1879 Q2,C/1879 Q2 (Hartwig),1879-08-29,1879,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
11P,11P,11P/Tempel-Swift-LINEAR,1880-11-08,1880,True,AERITH,expected_seen,horizons_tmag,15.2,20.0,False,11.337,medium_sbdb_good
7P,7P,7P/Pons-Winnecke,1880-12-04,1880,True,AERITH,expected_not_seen,horizons_tmag,16.0,4.5,True,16.881,high_nuclear_biased
1880 C1,C/1880 C1,C/1880 C1 (Great southern comet),1880-01-28,1880,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1880 G1,C/1880 G1,C/1880 G1 (Schaeberle),1880-07-02,1880,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1880 S1,C/1880 S1,C/1880 S1 (Hartwig),1880-09-07,1880,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1880 Y1,C/1880 Y1,C/1880 Y1 (Pechule),1880-11-09,1880,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
2P,2P,2P/Encke,1881-11-15,1881,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.613,high_nuclear_biased
4P,4P,4P/Faye,1881-01-23,1881,True,AERITH,expected_seen,horizons_tmag,11.0,9.5,False,13.99,medium_sbdb_good
72P,72P,72P/Denning-Fujikawa,1881-09-13,1881,True,AERITH,unexpected_seen,horizons_tmag,17.5,19.0,False,12.617,medium_sbdb_good
1881 J1,C/1881 J1,C/1881 J1 (Swift),1881-05-20,1881,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
